"plate_id","garden","meso_id","soil_id","seed_id","intact_seeds","seed_code","plating_date","germination_date","fungidate_type","fungi_type","death_date","obs","notes","colonization","home_away"
310,"SUM",11,"HR","HG",7,"B",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
310,"SUM",11,"HR","HG",7,"C",2025-07-10,NA,"7/14-O","O",NA,"HL","might be yeast",1,"Away"
310,"SUM",11,"HR","HG",7,"D",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
310,"SUM",11,"HR","HG",7,"E",2025-07-10,NA,"7/14-O","O",NA,"HL","might be yeast",1,"Away"
310,"SUM",11,"HR","HG",7,"F",2025-07-10,NA,"7/14-O","O",NA,"HL","might be yeast",1,"Away"
310,"SUM",11,"HR","HG",7,"G",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
313,"SUM",15,"HG","SR",4,"A",2025-07-10,NA,"8/6-O","O",NA,"HL","shiny yellow- seeds not infected but plate contaminated with white shiny",1,"Away"
313,"SUM",15,"HG","SR",4,"B",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
313,"SUM",15,"HG","SR",4,"C",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
313,"SUM",15,"HG","SR",4,"D",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
311,"SUM",15,"HG","CR",9,"A",2025-07-10,NA,"7/17-F","F",NA,"HL",NA,1,"Away"
311,"SUM",15,"HG","CR",9,"B",2025-07-10,NA,"7/17-F","F",NA,"HL",NA,1,"Away"
311,"SUM",15,"HG","CR",9,"C",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
311,"SUM",15,"HG","CR",9,"D",2025-07-10,NA,"7/14-F","F",NA,"HL","white fluffy",1,"Away"
311,"SUM",15,"HG","CR",9,"E",2025-07-10,NA,"7/14-F","F",NA,"HL",NA,1,"Away"
311,"SUM",15,"HG","CR",9,"F",2025-07-10,NA,"7/17-F","F",NA,"HL","colonized from ABDE infection",1,"Away"
311,"SUM",15,"HG","CR",9,"G",2025-07-10,NA,"7/17-F","F",NA,"HL","colonized from ABDE infection",1,"Away"
311,"SUM",15,"HG","CR",9,"H",2025-07-10,NA,"7/17-F","F",NA,"HL","colonized from ABDE infection",1,"Away"
311,"SUM",15,"HG","CR",9,"I",2025-07-10,2025-07-14,"7/17-F","F",NA,"HL","colonized from ABDE infection",1,"Away"
312,"SUM",15,"HG","OH",6,"A",2025-07-10,2025-08-14,"7/17-O","O",NA,"HL","white shiny gluey- seed still okay",1,"Away"
312,"SUM",15,"HG","OH",6,"B",2025-07-10,NA,"7/14-O","O",NA,"HL","white shiny gluey- seed still okay",1,"Away"
312,"SUM",15,"HG","OH",6,"C",2025-07-10,NA,"7/14-O","O",NA,"HL","white shiny gluey- seed still okay",1,"Away"
312,"SUM",15,"HG","OH",6,"D",2025-07-10,NA,"7/14-O","O",NA,"HL","white shiny gluey- seed still okay",1,"Away"
312,"SUM",15,"HG","OH",6,"E",2025-07-10,NA,"7/14-O","O",NA,"HL","white shiny gluey- seed still okay",1,"Away"
312,"SUM",15,"HG","OH",6,"F",2025-07-10,NA,NA,NA,NA,"HL","missing",0,"Away"
316,"SUM",17,"HR","TI",5,"A",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown",1,"Away"
316,"SUM",17,"HR","TI",5,"B",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown",1,"Away"
316,"SUM",17,"HR","TI",5,"C",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown",1,"Away"
316,"SUM",17,"HR","TI",5,"D",2025-07-10,NA,"7/14-O","O",NA,"HL","gluey brown",1,"Away"
316,"SUM",17,"HR","TI",5,"E",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"A",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"B",2025-07-10,NA,"7/14-O","O",NA,"HL","shiny brown",1,"Away"
315,"SUM",17,"HR","NG",9,"C",2025-07-10,NA,"7/14-O","O",NA,"HL","shiny brown",1,"Away"
315,"SUM",17,"HR","NG",9,"D",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"E",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"F",2025-07-10,2025-07-14,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"G",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
315,"SUM",17,"HR","NG",9,"H",2025-07-10,NA,"7/14-F","F",NA,"HL","brown with spots but not fluffy",1,"Away"
315,"SUM",17,"HR","NG",9,"I",2025-07-10,NA,NA,NA,NA,"HL","missing",0,"Away"
314,"SUM",17,"HR","BB",9,"A",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"B",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"C",2025-07-10,NA,"7/14-F","F",NA,"HL","brown circular",1,"Away"
314,"SUM",17,"HR","BB",9,"D",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"E",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"F",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"G",2025-07-10,2025-07-14,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"H",2025-07-10,NA,NA,NA,NA,"HL",NA,0,"Away"
314,"SUM",17,"HR","BB",9,"I",2025-07-10,2025-08-14,NA,NA,NA,"HL",NA,0,"Away"
317,"SUM",18,"HR","HG",9,"A",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"B",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"C",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"D",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"E",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"F",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"G",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"H",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
317,"SUM",18,"HR","HG",9,"I",2025-07-10,NA,NA,NA,NA,"HL","plate is cloudy but seeds still okay",0,"Away"
319,"SUM",20,"SR","NG",2,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
319,"SUM",20,"SR","NG",2,"B",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
318,"SUM",20,"SR","BB",5,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
318,"SUM",20,"SR","BB",5,"B",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
318,"SUM",20,"SR","BB",5,"C",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
318,"SUM",20,"SR","BB",5,"D",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
318,"SUM",20,"SR","BB",5,"E",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
321,"SUM",23,"OH","OH",3,"A",2025-07-11,NA,"7/25-O","O",NA,"HL","white shiny",1,"Home"
321,"SUM",23,"OH","OH",3,"B",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Home"
321,"SUM",23,"OH","OH",3,"C",2025-07-11,2025-07-25,NA,NA,NA,"HL",NA,0,"Home"
320,"SUM",23,"OH","HG",6,"A",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
320,"SUM",23,"OH","HG",6,"B",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
320,"SUM",23,"OH","HG",6,"C",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
320,"SUM",23,"OH","HG",6,"D",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
320,"SUM",23,"OH","HG",6,"E",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
320,"SUM",23,"OH","HG",6,"F",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic but plate is contaminated",0,"Away"
324,"SUM",25,"RC","TI",2,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
324,"SUM",25,"RC","TI",2,"B",2025-07-11,NA,NA,NA,NA,"HL","grey fungi",0,"Away"
323,"SUM",25,"RC","NG",2,"A",2025-07-11,NA,"7/14-F","F",NA,"HL",NA,1,"Away"
323,"SUM",25,"RC","NG",2,"B",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
322,"SUM",25,"RC","BB",3,"A",2025-07-11,NA,"7/17-F","F",NA,"HL","pink fungi",1,"Away"
322,"SUM",25,"RC","BB",3,"B",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
322,"SUM",25,"RC","BB",3,"C",2025-07-11,NA,"7/17-F","F",NA,"HL","pink fungi",1,"Away"
326,"SUM",27,"TI","TI",1,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Home"
325,"SUM",27,"TI","RC",8,"A",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"B",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"C",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"D",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"E",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"F",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"G",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
325,"SUM",27,"TI","RC",8,"H",2025-07-11,NA,NA,NA,NA,"HL","seed not symptomatic but plate is contaminated- gluey brown",0,"Away"
329,"SUM",28,"HG","SR",2,"A",2025-07-11,NA,"7/14-O","O",NA,"HL","shiny white gluey with spots",1,"Away"
329,"SUM",28,"HG","SR",2,"B",2025-07-11,NA,"7/14-O","O",NA,"HL","shiny white circular",1,"Away"
327,"SUM",28,"HG","CR",6,"A",2025-07-11,2025-07-17,NA,NA,NA,"HL",NA,0,"Away"
327,"SUM",28,"HG","CR",6,"B",2025-07-11,2025-07-22,NA,NA,NA,"HL",NA,0,"Away"
327,"SUM",28,"HG","CR",6,"C",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
327,"SUM",28,"HG","CR",6,"D",2025-07-11,2025-08-14,NA,NA,NA,"HL",NA,0,"Away"
327,"SUM",28,"HG","CR",6,"E",2025-07-11,2025-08-14,NA,NA,NA,"HL",NA,0,"Away"
327,"SUM",28,"HG","CR",6,"F",2025-07-11,NA,"8/7-F","F",NA,"HL","fluffy orange and pink",1,"Away"
328,"SUM",28,"HG","OH",7,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
328,"SUM",28,"HG","OH",7,"B",2025-07-11,NA,"7/14-F","F",NA,"HL","fluffy white",1,"Away"
328,"SUM",28,"HG","OH",7,"C",2025-07-11,NA,"7/14-F","F",NA,"HL","white gluey",1,"Away"
328,"SUM",28,"HG","OH",7,"D",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
328,"SUM",28,"HG","OH",7,"E",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
328,"SUM",28,"HG","OH",7,"F",2025-07-11,2025-07-14,NA,NA,NA,"HL",NA,0,"Away"
328,"SUM",28,"HG","OH",7,"G",2025-07-11,NA,NA,NA,NA,"HL","missing",0,"Away"
331,"SUM",30,"CR","TI",6,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
331,"SUM",30,"CR","TI",6,"B",2025-07-11,NA,"7/17-O","O",NA,"HL","gluey white with spots",1,"Away"
331,"SUM",30,"CR","TI",6,"C",2025-07-11,NA,"7/17-O","O",NA,"HL","gluey white with spots",1,"Away"
331,"SUM",30,"CR","TI",6,"D",2025-07-11,NA,"7/17-O","O",NA,"HL","gluey white with spots",1,"Away"
331,"SUM",30,"CR","TI",6,"E",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
331,"SUM",30,"CR","TI",6,"F",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
330,"SUM",30,"CR","BB",1,"A",2025-07-11,NA,"7/17-O","O",NA,"HL","gluey brown with spots",1,"Away"
332,"SUM",31,"SR","NG",1,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Away"
333,"SUM",32,"NG","NG",2,"A",2025-07-11,NA,NA,NA,NA,"HL",NA,0,"Home"
333,"SUM",32,"NG","NG",2,"B",2025-07-11,NA,NA,NA,NA,"HL","seeds not symptomatic- plate turning brown",0,"Home"
334,"SUM",32,"NG","RC",1,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
337,"SUM",34,"HG","SR",3,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
337,"SUM",34,"HG","SR",3,"B",2025-07-15,2025-08-19,NA,NA,NA,"TN",NA,0,"Away"
337,"SUM",34,"HG","SR",3,"C",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"A",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"B",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"C",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"D",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"E",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"F",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"G",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
335,"SUM",34,"HG","CR",9,"H",2025-07-15,NA,"7/22-O","O",NA,"TN","white gluey",1,"Away"
335,"SUM",34,"HG","CR",9,"I",2025-07-15,2025-07-22,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"B",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"C",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"D",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"E",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"F",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"G",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"H",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"I",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
336,"SUM",34,"HG","OH",10,"J",2025-07-15,NA,NA,NA,NA,"TN","missing",0,"Away"
338,"SUM",36,"HG","HG",4,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Home"
338,"SUM",36,"HG","HG",4,"B",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Home"
338,"SUM",36,"HG","HG",4,"C",2025-07-15,NA,NA,NA,NA,"TN","missing",0,"Home"
338,"SUM",36,"HG","HG",4,"D",2025-07-15,NA,NA,NA,NA,"TN","missing",0,"Home"
339,"SUM",39,"CR","CR",6,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Home"
339,"SUM",39,"CR","CR",6,"B",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Home"
339,"SUM",39,"CR","CR",6,"C",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Home"
339,"SUM",39,"CR","CR",6,"D",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Home"
339,"SUM",39,"CR","CR",6,"E",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Home"
339,"SUM",39,"CR","CR",6,"F",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Home"
340,"SUM",39,"CR","HG",5,"A",2025-07-15,NA,NA,NA,NA,"TN","seeds not symptomaticbut plate infected with brown gluey spots-8/6",0,"Away"
340,"SUM",39,"CR","HG",5,"B",2025-07-15,NA,NA,NA,NA,"TN","plate contaminated with white spots, seeds still okay- 8/6",0,"Away"
340,"SUM",39,"CR","HG",5,"C",2025-07-15,NA,NA,NA,NA,"TN","plate contaminated with white spots, seeds still okay- 8/6",0,"Away"
340,"SUM",39,"CR","HG",5,"D",2025-07-15,2025-08-14,NA,NA,NA,"TN","plate contaminated with white spots, seeds still okay- 8/6",0,"Away"
340,"SUM",39,"CR","HG",5,"E",2025-07-15,2025-08-14,NA,NA,NA,"TN","plate contaminated with white spots, seeds still okay- 8/6",0,"Away"
342,"SUM",42,"SR","SR",1,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Home"
341,"SUM",42,"SR","HG",7,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"B",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"C",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"D",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"E",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"F",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
341,"SUM",42,"SR","HG",7,"G",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
343,"SUM",43,"OH","TI",4,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
343,"SUM",43,"OH","TI",4,"B",2025-07-15,2025-08-14,NA,NA,NA,"TN",NA,0,"Away"
343,"SUM",43,"OH","TI",4,"C",2025-07-15,2025-07-25,NA,NA,NA,"TN",NA,0,"Away"
343,"SUM",43,"OH","TI",4,"D",2025-07-15,NA,"7/22-O","O",NA,"TN","white shiny with spots",1,"Away"
345,"SUM",44,"NG","SR",8,"A",2025-07-15,NA,NA,NA,NA,"TN",NA,0,"Away"
