"garden","meso_id","soil_id","treat","n_bags","...31","entered_by","bag","seed_id","intact","obs","date","notes","seed_fate","n_seeds"
"WIL",4,"CR","Dead",2,4,"HL",2,"BB",7,"SF","45811",NA,"burst",0
"WIL",4,"CR","Dead",2,4,"HL",2,"BB",7,"SF","45811",NA,"missing",0
"SUM",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"SUM",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"SUM",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"WIL",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"germinated",NA
"WIL",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"burst",NA
"WIL",4,"CR","Dead",2,4,"HL",3,NA,NA,NA,NA,NA,"missing",NA
"SUM",5,"NG","Live",3,5,"HL",1,"NG",3,"SF","45810","1 intact black, shriveled","germinated",7
"SUM",5,"NG","Live",3,5,"HL",1,"NG",3,"SF","45810","1 intact black, shriveled","burst",0
"SUM",5,"NG","Live",3,5,"HL",1,"NG",3,"SF","45810","1 intact black, shriveled","missing",0
"WIL",5,"NG","Live",3,5,"HL",1,"RC",3,"HL","45811","pink growth (fusarium)","germinated",7
"WIL",5,"NG","Live",3,5,"HL",1,"RC",3,"HL","45811","pink growth (fusarium)","burst",0
"WIL",5,"NG","Live",3,5,"HL",1,"RC",3,"HL","45811","pink growth (fusarium)","missing",0
"SUM",5,"NG","Live",3,5,"HL",2,"RC",6,"SF","45810","1 intact shriveled","germinated",4
"SUM",5,"NG","Live",3,5,"HL",2,"RC",6,"SF","45810","1 intact shriveled","burst",0
"SUM",5,"NG","Live",3,5,"HL",2,"RC",6,"SF","45810","1 intact shriveled","missing",0
"WIL",5,"NG","Live",3,5,"HL",2,"HR",4,"HL","45811","possibly another intact but got squished","germinated",4
"WIL",5,"NG","Live",3,5,"HL",2,"HR",4,"HL","45811","possibly another intact but got squished","burst",0
"WIL",5,"NG","Live",3,5,"HL",2,"HR",4,"HL","45811","possibly another intact but got squished","missing",2
"SUM",5,"NG","Live",3,5,"HL",3,"HR",10,"SF","45810",NA,"germinated",0
"SUM",5,"NG","Live",3,5,"HL",3,"HR",10,"SF","45810",NA,"burst",0
"SUM",5,"NG","Live",3,5,"HL",3,"HR",10,"SF","45810",NA,"missing",0
"WIL",5,"NG","Live",3,5,"HL",3,"NG",3,"HL","45811",NA,"germinated",7
"WIL",5,"NG","Live",3,5,"HL",3,"NG",3,"HL","45811",NA,"burst",0
"WIL",5,"NG","Live",3,5,"HL",3,"NG",3,"HL","45811",NA,"missing",0
"SUM",6,"BB","Live",3,6,"HL",1,"BB",10,"HL","45810",NA,"germinated",0
"SUM",6,"BB","Live",3,6,"HL",1,"BB",10,"HL","45810",NA,"burst",0
"SUM",6,"BB","Live",3,6,"HL",1,"BB",10,"HL","45810",NA,"missing",0
"WIL",6,"BB","Live",3,6,"HL",1,"BB",6,"SF","45812",NA,"germinated",3
"WIL",6,"BB","Live",3,6,"HL",1,"BB",6,"SF","45812",NA,"burst",0
"WIL",6,"BB","Live",3,6,"HL",1,"BB",6,"SF","45812",NA,"missing",1
"SUM",6,"BB","Live",3,6,"HL",2,"RC",3,"HL","45810",NA,"germinated",4
"SUM",6,"BB","Live",3,6,"HL",2,"RC",3,"HL","45810",NA,"burst",0
"SUM",6,"BB","Live",3,6,"HL",2,"RC",3,"HL","45810",NA,"missing",3
"WIL",6,"BB","Live",3,6,"HL",2,"RC",8,"SF","45812","intact are black/shriveled","germinated",2
"WIL",6,"BB","Live",3,6,"HL",2,"RC",8,"SF","45812","intact are black/shriveled","burst",0
"WIL",6,"BB","Live",3,6,"HL",2,"RC",8,"SF","45812","intact are black/shriveled","missing",0
"SUM",6,"BB","Live",3,6,"HL",3,"HR",9,"HL","45810",NA,"germinated",0
"SUM",6,"BB","Live",3,6,"HL",3,"HR",9,"HL","45810",NA,"burst",0
"SUM",6,"BB","Live",3,6,"HL",3,"HR",9,"HL","45810",NA,"missing",1
"WIL",6,"BB","Live",3,6,"HL",3,"HR",8,"SF","45812",NA,"germinated",2
"WIL",6,"BB","Live",3,6,"HL",3,"HR",8,"SF","45812",NA,"burst",0
"WIL",6,"BB","Live",3,6,"HL",3,"HR",8,"SF","45812",NA,"missing",0
"SUM",7,"SR","Dead",3,7,"HL",1,"SR",3,"SF","45807",NA,"germinated",6
"SUM",7,"SR","Dead",3,7,"HL",1,"SR",3,"SF","45807",NA,"burst",1
"SUM",7,"SR","Dead",3,7,"HL",1,"SR",3,"SF","45807",NA,"missing",0
"WIL",7,"SR","Dead",3,7,"HL",1,"SR",1,"SF","45811",NA,"germinated",9
"WIL",7,"SR","Dead",3,7,"HL",1,"SR",1,"SF","45811",NA,"burst",0
"WIL",7,"SR","Dead",3,7,"HL",1,"SR",1,"SF","45811",NA,"missing",0
"SUM",7,"SR","Dead",3,7,"HL",2,"HG",4,"SF","45807",NA,"germinated",6
"SUM",7,"SR","Dead",3,7,"HL",2,"HG",4,"SF","45807",NA,"burst",0
"SUM",7,"SR","Dead",3,7,"HL",2,"HG",4,"SF","45807",NA,"missing",0
"WIL",7,"SR","Dead",3,7,"HL",2,"HG",7,"SF","45811",NA,"germinated",3
"WIL",7,"SR","Dead",3,7,"HL",2,"HG",7,"SF","45811",NA,"burst",0
"WIL",7,"SR","Dead",3,7,"HL",2,"HG",7,"SF","45811",NA,"missing",0
"SUM",7,"SR","Dead",3,7,"HL",3,"AH",9,"SF","45807",NA,"germinated",1
"SUM",7,"SR","Dead",3,7,"HL",3,"AH",9,"SF","45807",NA,"burst",0
"SUM",7,"SR","Dead",3,7,"HL",3,"AH",9,"SF","45807",NA,"missing",0
"WIL",7,"SR","Dead",3,7,"HL",3,"AH",8,"SF","45811",NA,"germinated",1
"WIL",7,"SR","Dead",3,7,"HL",3,"AH",8,"SF","45811",NA,"burst",1
"WIL",7,"SR","Dead",3,7,"HL",3,"AH",8,"SF","45811",NA,"missing",0
"SUM",8,"BB","Live",3,8,"HL",1,"BB",10,"SF","45810",NA,"germinated",0
"SUM",8,"BB","Live",3,8,"HL",1,"BB",10,"SF","45810",NA,"burst",0
"SUM",8,"BB","Live",3,8,"HL",1,"BB",10,"SF","45810",NA,"missing",0
"WIL",8,"BB","Live",3,8,"HL",1,"BB",8,"SF","45812",NA,"germinated",2
"WIL",8,"BB","Live",3,8,"HL",1,"BB",8,"SF","45812",NA,"burst",0
